match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71617682,1,6,58,0,9.666666666666666,0,162,Islamabad United SRL
71617682,2,6,47,2,7.833333333333333,0,163,Hyderabad Kingsmen Srl
71617798,1,6,54,3,9.0,0,148,Pretoria Capitals SRL
71617798,2,6,44,2,7.333333333333333,0,154,Joburg Super Kings SRL
71770376,1,6,45,0,7.5,0,167,England SRL
71770376,2,6,64,0,10.666666666666666,0,172,Australia SRL
71770378,1,6,29,1,4.833333333333333,0,161,Afghanistan SRL
71770378,2,6,38,0,6.333333333333333,0,165,New Zealand SRL
71770380,1,6,40,1,6.666666666666667,0,194,South Africa SRL
71770380,2,6,51,0,8.5,0,171,Pakistan SRL
71770382,1,6,59,1,9.833333333333334,0,204,India SRL
71770382,2,6,53,3,8.833333333333334,0,179,England SRL
71770384,1,6,54,2,9.0,0,177,New Zealand SRL
71770384,2,6,30,4,5.0,0,143,West Indies SRL
71770386,1,6,36,1,6.0,0,145,Pakistan SRL
71770386,2,6,42,2,7.0,0,147,Sri Lanka SRL
71770388,1,6,66,2,11.0,0,170,South Africa SRL
71770388,2,6,64,1,10.666666666666666,0,172,Australia SRL
71770390,1,6,36,1,6.0,0,130,Afghanistan SRL
71770390,2,6,54,1,9.0,0,135,Bangladesh SRL
71770392,1,6,49,2,8.166666666666666,0,180,New Zealand SRL
71770392,2,6,23,2,3.8333333333333335,0,84,Sri Lanka SRL
71770394,1,6,56,3,9.333333333333334,0,170,Australia SRL
71770394,2,6,45,2,7.5,0,171,West Indies SRL
71770396,1,6,42,3,7.0,0,190,South Africa SRL
71770396,2,6,49,1,8.166666666666666,0,176,India SRL
71770398,1,6,55,0,9.166666666666666,0,191,New Zealand SRL
71770398,2,6,43,2,7.166666666666667,0,171,England SRL
71770400,1,6,61,0,10.166666666666666,0,192,West Indies SRL
71770400,2,6,56,1,9.333333333333334,0,194,Pakistan SRL
71770402,1,6,41,3,6.833333333333333,0,153,Australia SRL
71770402,2,6,35,4,5.833333333333333,0,144,India SRL
71770404,1,6,47,0,7.833333333333333,0,167,Afghanistan SRL
71770404,2,6,37,2,6.166666666666667,0,147,Sri Lanka SRL
71770406,1,6,50,1,8.333333333333334,0,201,South Africa SRL
71770406,2,6,71,1,11.833333333333334,0,204,New Zealand SRL
71770408,1,6,40,2,6.666666666666667,0,167,India SRL
71770408,2,6,52,2,8.666666666666666,0,157,England SRL
71770410,1,6,48,1,8.0,0,153,Pakistan SRL
71770410,2,6,36,2,6.0,0,154,Australia SRL
71770412,1,6,58,0,9.666666666666666,0,193,Sri Lanka SRL
71770412,2,6,42,4,7.0,0,107,West Indies SRL
71770414,1,6,64,0,10.666666666666666,0,252,South Africa SRL
71770414,2,6,31,4,5.166666666666667,0,177,India SRL
71770416,1,6,61,2,10.166666666666666,0,187,England SRL
71770416,2,6,48,2,8.0,0,185,Australia SRL
71770428,1,6,21,3,3.5,0,145,Canterbury SRL
71770428,2,6,35,3,5.833333333333333,0,150,Auckland SRL
71770430,1,6,38,0,6.333333333333333,0,186,Northern Districts SRL
71770430,2,6,20,2,3.3333333333333335,0,93,Central Districts SRL
71770432,1,6,39,3,6.5,0,133,Auckland SRL
71770432,2,6,43,2,7.166666666666667,0,134,Northern Districts SRL
71770434,1,6,57,0,9.5,0,226,Wellington SRL
71770434,2,6,41,2,6.833333333333333,0,159,Central Districts SRL
71770436,1,6,31,1,5.166666666666667,0,159,Wellington SRL
71770436,2,6,44,1,7.333333333333333,0,162,Auckland SRL
71770438,1,6,40,2,6.666666666666667,0,145,Central Districts SRL
71770438,2,6,52,2,8.666666666666666,0,148,Auckland SRL
71770440,1,6,54,1,9.0,0,189,Northern Districts SRL
71770440,2,6,48,0,8.0,0,166,Canterbury SRL
71770442,1,6,52,1,8.666666666666666,0,171,Canterbury SRL
71770442,2,6,55,2,9.166666666666666,0,172,Wellington SRL
71770444,1,6,40,2,6.666666666666667,0,148,Northern Districts SRL
