run_id,date,who,what_changed,main_metric,value,seed,notes
W4-B1-BASELINE-MAE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,MAE,23.1212,42,"95% bootstrap CI [20.3046, 26.0374]; validation rows=154; validation matches=77."
W4-B1-BASELINE-RMSE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,RMSE,29.2549,42,"95% bootstrap CI [25.8834, 32.5985]; validation rows=154; validation matches=77."
W4-B1-BASELINE-MAE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,MAE,23.1212,42,"95% bootstrap CI [20.3046, 26.0374]; validation rows=154; validation matches=77."
W4-B1-BASELINE-RMSE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,RMSE,29.2549,42,"95% bootstrap CI [25.8834, 32.5985]; validation rows=154; validation matches=77."
W4-B1-BASELINE-MAE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,MAE,23.1212,42,"95% bootstrap CI [20.3046, 26.0374]; validation rows=154; validation matches=77."
W4-B1-BASELINE-RMSE-42,2026-09-18,Member 1,Established Over-6 current-run-rate baseline with match-level development split,RMSE,29.2549,42,"95% bootstrap CI [25.8834, 32.5985]; validation rows=154; validation matches=77."
W6-B1-LINEAR-REGRESSION-10-SEEDS,2026-09-18,Member 3,Implemented Over-6 Linear Regression with match-level validation,MAE,17.4375,0-9,"10 match-level splits; MAE mean 17.4375, range [15.5585, 19.1344], std 1.1470; baseline mean 27.7881."
W6-B1-LINEAR-REGRESSION-10-SEEDS-RMSE,2026-09-18,Member 3,Compared Over-6 Linear Regression with the Week 4 current-run-rate baseline,RMSE,21.9218,0-9,"10 match-level splits; RMSE mean 21.9218, range [19.5514, 24.7411], std 1.6144; baseline mean 34.4205."
W6-B1-GRADIENT-BOOSTING-10-SEEDS,2026-09-18,Member 1,Implemented Over-6 Gradient Boosting with match-level validation,MAE,17.3922,0-9,"10 match-level splits; MAE mean 17.3922, range [15.7354, 18.8054], std 0.9976; baseline mean 27.7881."
W6-B1-GRADIENT-BOOSTING-10-SEEDS-RMSE,2026-09-18,Member 1,Compared Over-6 Gradient Boosting with the Week 4 current-run-rate baseline,RMSE,21.9845,0-9,"10 match-level splits; RMSE mean 21.9845, range [19.3477, 24.2213], std 1.4620; baseline mean 34.4205."
W8-B1-FINAL-PREDICTION-CONFORMAL,2026-09-18,Member 2,Generate leakage-safe Over-6 predictions with 90% split-conformal prediction intervals,coverage,0.9077,0-9,"Out-of-fold predictions across 10 match-level outer splits; target coverage 0.90, empirical coverage 0.9077; mean range width 71.85; point MAE 16.9455; point RMSE 21.5845."
