seed,match_id,innings,actual_score,predicted_score,error,absolute_error
0,71770458,1,248,175.8917226092575,72.1082773907425,72.1082773907425
0,71770494,1,250,185.50208453286473,64.49791546713527,64.49791546713527
0,74114428,1,97,155.76967024208955,-58.769670242089546,58.769670242089546
0,71770392,2,84,142.18274969111346,-58.18274969111346,58.18274969111346
0,73284486,2,95,152.1535775965017,-57.15357759650169,57.15357759650169
1,73284474,2,84,171.49253304146484,-87.49253304146484,87.49253304146484
1,73281454,2,62,123.54833252681057,-61.54833252681057,61.54833252681057
1,71770608,1,202,147.69848157332902,54.30151842667098,54.30151842667098
1,71770608,2,165,114.47161084806282,50.528389151937176,50.528389151937176
1,71932590,1,225,178.81847788497356,46.18152211502644,46.18152211502644
2,73281454,2,62,141.27728971606808,-79.27728971606808,79.27728971606808
2,71770494,1,250,185.81416070865856,64.18583929134144,64.18583929134144
2,71932894,1,203,150.8936798070449,52.10632019295511,52.10632019295511
2,73281826,2,147,195.45013247851054,-48.45013247851054,48.45013247851054
2,71770412,2,107,154.05587721859433,-47.05587721859433,47.05587721859433
3,71770458,1,248,176.5666440477047,71.4333559522953,71.4333559522953
3,73281454,2,62,132.0464611199021,-70.04646111990209,70.04646111990209
3,71770494,1,250,186.52409552487504,63.47590447512496,63.47590447512496
3,71770392,2,84,146.84147696359696,-62.84147696359696,62.84147696359696
3,74114428,1,97,155.09366284931443,-58.09366284931443,58.09366284931443
4,71770494,1,250,186.49455145495114,63.505448545048864,63.505448545048864
4,71932772,2,109,171.4229393546931,-62.42293935469311,62.42293935469311
4,74114428,1,97,155.42205362097943,-58.422053620979426,58.422053620979426
4,71932772,1,108,165.03103879891208,-57.03103879891208,57.03103879891208
4,71770608,2,165,109.0820433899441,55.917956610055896,55.917956610055896
5,71770414,1,252,186.50046732308525,65.49953267691475,65.49953267691475
5,71770494,1,250,186.30557775157317,63.69442224842683,63.69442224842683
5,71932772,2,109,169.8881450876476,-60.88814508764759,60.88814508764759
5,71932772,1,108,158.04934595757524,-50.04934595757524,50.04934595757524
5,72034740,2,98,146.6389415183596,-48.63894151835959,48.63894151835959
6,73285236,1,243,174.15525877003503,68.84474122996497,68.84474122996497
6,71770392,2,84,149.58743454083213,-65.58743454083213,65.58743454083213
6,71932894,1,203,150.39364501754216,52.606354982457844,52.606354982457844
6,73281826,2,147,193.8413140359127,-46.84131403591269,46.84131403591269
6,73284098,2,154,199.64095218360202,-45.640952183602025,45.640952183602025
7,74114560,2,126,180.66145522218446,-54.66145522218446,54.66145522218446
7,73281836,2,117,166.97985011640287,-49.97985011640287,49.97985011640287
7,71770434,1,226,180.5260234874297,45.47397651257029,45.47397651257029
7,73284960,1,210,166.0384405254423,43.9615594745577,43.9615594745577
7,74114434,2,190,149.9756937279796,40.0243062720204,40.0243062720204
8,73281454,2,62,133.68616720358935,-71.68616720358935,71.68616720358935
8,71770458,1,248,176.88036403669426,71.11963596330574,71.11963596330574
8,71770494,1,250,187.561203790379,62.43879620962099,62.43879620962099
8,71770628,2,108,157.5597635026661,-49.5597635026661,49.5597635026661
8,73284098,2,154,197.242082599247,-43.242082599247,43.242082599247
9,71770414,1,252,186.5504638082951,65.44953619170491,65.44953619170491
9,71770602,1,205,149.42186877293074,55.578131227069264,55.578131227069264
9,71770414,2,177,129.5790577837104,47.4209422162896,47.4209422162896
9,73284098,2,154,200.6211611279591,-46.62116112795911,46.62116112795911
9,73285248,2,128,174.39671210448773,-46.39671210448773,46.39671210448773
