seed,model,validation_rows,validation_matches,MAE,RMSE,MAE_CI_low,MAE_CI_high,RMSE_CI_low,RMSE_CI_high,baseline_MAE,baseline_RMSE,MAE_change_vs_baseline,RMSE_change_vs_baseline
0,Gradient Boosting,154,77,18.80541127002474,24.221336579981536,16.413075401874856,21.361611523443575,21.26948732036541,27.05748043316722,26.906926406926402,34.27152634531351,-8.10151513690166,-10.050189765331975
1,Gradient Boosting,154,77,16.9230419063203,21.591143519934302,14.946138303425252,19.10582073981951,18.71859676313663,24.669682353499102,29.863636363636363,36.81188284528134,-12.940594457316063,-15.220739325347036
2,Gradient Boosting,153,77,18.029290331758656,22.71419712820399,15.990224521540473,20.449688018437353,20.1512386091439,25.44916042064574,25.797385620915033,32.21756784054179,-7.768095289156378,-9.503370712337802
3,Gradient Boosting,154,77,18.264031741122793,23.564495356906377,15.964104371347354,20.656903872487593,20.673406024755685,26.394385349059434,29.681818181818183,35.78244146062586,-11.41778644069539,-12.217946103719484
4,Gradient Boosting,153,77,18.074771722363284,22.93534057592493,15.945096028772715,20.411726881847073,20.17567333339213,25.573992692771885,26.054466230936818,32.86376226190882,-7.979694508573534,-9.928421685983889
5,Gradient Boosting,154,77,16.827290139199032,21.353865335544633,14.781202293210885,18.809765968992256,18.670405658586343,23.93193769287621,27.18614718614718,33.38964939721121,-10.358857046948149,-12.035784061666575
6,Gradient Boosting,153,77,16.507929918438663,20.785727638969643,14.63127229200729,18.619022603164847,18.291339392327753,23.211899163262363,26.42483660130719,33.662718981649014,-9.916906682868529,-12.876991342679371
7,Gradient Boosting,154,77,15.735442133269418,19.347665014677858,14.032238775822277,17.62258132932474,17.323655055758312,21.338927772441867,27.627705627705623,33.66613089454102,-11.892263494436206,-14.318465879863162
8,Gradient Boosting,154,77,18.171488784373462,22.425386894897787,16.121187377059684,20.306151749459893,19.854969133413835,25.262053203426984,28.805194805194805,35.72889744386345,-10.633706020821343,-13.303510548965665
9,Gradient Boosting,154,77,16.583729515530134,20.90589957425922,14.637085922207708,18.56115026917304,18.513460960413617,23.217493274733727,29.532467532467532,35.810749955981265,-12.948738016937398,-14.904850381722046
