seed,match_id,innings,actual_score,predicted_score,error,absolute_error
0,74114560,2,126,196.02889064949798,-70.02889064949798,70.02889064949798
0,73284486,2,95,163.28412728871973,-68.28412728871973,68.28412728871973
0,71770458,1,248,184.23774537148876,63.76225462851124,63.76225462851124
0,71770494,1,250,187.32376119161177,62.676238808388234,62.676238808388234
0,71932858,1,112,168.97251012902126,-56.97251012902126,56.97251012902126
1,73284474,2,84,161.58055312671002,-77.58055312671002,77.58055312671002
1,73281454,2,62,126.28753811531088,-64.28753811531088,64.28753811531088
1,71770608,2,165,112.48298596072499,52.51701403927501,52.51701403927501
1,71770466,2,131,179.05763711386078,-48.05763711386078,48.05763711386078
1,71932590,1,225,177.86563413190558,47.13436586809442,47.13436586809442
2,73281454,2,62,136.1205964675921,-74.1205964675921,74.1205964675921
2,71770494,1,250,188.4331186638582,61.56688133614179,61.56688133614179
2,71770466,2,131,181.19707352214786,-50.19707352214786,50.19707352214786
2,71932894,1,203,155.09534811403262,47.90465188596738,47.90465188596738
2,73284498,1,201,154.6810683345667,46.3189316654333,46.3189316654333
3,74114560,2,126,196.45901253993588,-70.45901253993588,70.45901253993588
3,73281454,2,62,130.57318693626752,-68.57318693626752,68.57318693626752
3,71770458,1,248,184.81008303121118,63.18991696878882,63.18991696878882
3,71770494,1,250,192.22155176476795,57.77844823523205,57.77844823523205
3,74114428,1,97,151.84153652852103,-54.84153652852103,54.84153652852103
4,71932772,2,109,178.12090112219317,-69.12090112219317,69.12090112219317
4,71932772,1,108,171.0996724958644,-63.09967249586441,63.09967249586441
4,71770494,1,250,190.23570090048526,59.764299099514744,59.764299099514744
4,71770608,2,165,108.93087941158034,56.069120588419665,56.069120588419665
4,74114428,1,97,148.17699160678006,-51.176991606780064,51.176991606780064
5,71932772,2,109,171.43320843391106,-62.43320843391106,62.43320843391106
5,71770494,1,250,191.05691497949562,58.943085020504384,58.943085020504384
5,71932772,1,108,166.6007581524438,-58.6007581524438,58.6007581524438
5,71770414,1,252,195.59399652045062,56.40600347954938,56.40600347954938
5,73284500,1,223,173.1978681526822,49.80213184731781,49.80213184731781
6,73285236,1,243,169.79843676496384,73.20156323503616,73.20156323503616
6,71770392,2,84,137.71962685137473,-53.71962685137473,53.71962685137473
6,71932894,1,203,151.15970814972357,51.84029185027643,51.84029185027643
6,71932894,2,192,147.24892535072797,44.75107464927203,44.75107464927203
6,73281830,1,197,153.2648547791262,43.73514522087379,43.73514522087379
7,74114560,2,126,196.8201744174399,-70.82017441743989,70.82017441743989
7,73281836,2,117,163.22595780335422,-46.22595780335422,46.22595780335422
7,73284960,1,210,164.49477994126744,45.50522005873256,45.50522005873256
7,71770434,1,226,181.7731009283256,44.22689907167441,44.22689907167441
7,74114434,2,190,149.77909255292155,40.220907447078446,40.220907447078446
8,73281454,2,62,132.90707063042962,-70.90707063042962,70.90707063042962
8,71770458,1,248,183.65856623738804,64.34143376261196,64.34143376261196
8,71770494,1,250,186.31832092901956,63.68167907098044,63.68167907098044
8,71770618,2,138,190.86785570686513,-52.86785570686513,52.86785570686513
8,71770628,2,108,153.49902974870872,-45.49902974870872,45.49902974870872
9,71770414,1,252,191.10002569149447,60.899974308505534,60.899974308505534
9,71770602,1,205,158.13211659566218,46.86788340433782,46.86788340433782
9,74114434,2,190,145.53318785427132,44.46681214572868,44.46681214572868
9,71770414,2,177,133.53293244767804,43.467067552321964,43.467067552321964
9,73285252,2,150,193.30108808728812,-43.30108808728812,43.30108808728812
