seed,model,validation_rows,validation_matches,MAE,RMSE,MAE_CI_low,MAE_CI_high,RMSE_CI_low,RMSE_CI_high,baseline_MAE,baseline_RMSE,MAE_change_vs_baseline,RMSE_change_vs_baseline
0,Linear Regression,154,77,19.134420026141086,24.741062557298644,16.63809908926054,21.6782535854496,21.671405768206583,27.601190750027524,26.906926406926402,34.27152634531351,-7.772506380785316,-9.530463788014867
1,Linear Regression,154,77,17.08575143119968,21.388135812604055,15.054660452591511,19.22883185140572,18.71119055541002,24.116119134896707,29.863636363636363,36.81188284528134,-12.777884932436685,-15.423747032677284
2,Linear Regression,153,77,18.398281384585417,22.920654255820633,16.33313264564912,20.66873745357189,20.66742148342048,25.508820126398515,25.797385620915033,32.21756784054179,-7.399104236329617,-9.296913584721157
3,Linear Regression,154,77,17.98223988979845,23.335788752872283,15.684082537909497,20.350042442684593,20.52872757642904,26.08196162598485,29.681818181818183,35.78244146062586,-11.699578292019734,-12.446652707753579
4,Linear Regression,153,77,18.63807492762314,23.070479089314034,16.650259181231437,20.833673614764237,20.422726392096877,25.80783226422709,26.054466230936818,32.86376226190882,-7.416391303313677,-9.793283172594784
5,Linear Regression,154,77,17.152246200835904,21.570286227374055,15.074093694925635,19.103248213931142,19.06019399678227,23.994694330664114,27.18614718614718,33.38964939721121,-10.033900985311277,-11.819363169837153
6,Linear Regression,153,77,15.558452771811918,19.786505240560462,13.715215319739148,17.618811887075207,17.314087416861273,22.228518139189884,26.42483660130719,33.662718981649014,-10.866383829495273,-13.876213741088552
7,Linear Regression,154,77,15.917641031110215,19.55136361663241,14.193393729451431,17.795712864440894,17.322697139431046,21.873697708134664,27.627705627705623,33.66613089454102,-11.710064596595409,-14.114767277908609
8,Linear Regression,154,77,17.559340166441814,21.66617817218996,15.671390744446176,19.633131200643245,19.10422953664792,24.35787328859474,28.805194805194805,35.72889744386345,-11.245854638752991,-14.062719271673494
9,Linear Regression,154,77,16.94887338274402,21.18789949947403,14.891725565779485,18.856723051465057,19.005381528204495,23.351385599157307,29.532467532467532,35.810749955981265,-12.583594149723513,-14.622850456507233
